round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,pool_size,activation,losses
22,0.0010777641597080811,0.9639037454670126,0.0003376145388303268,0.9899732626297257,16,64,2,softmax,logcosh
23,0.1121754500905203,0.9639037454670126,0.0017812914516897845,0.9996657754209909,256,64,2,softmax,categorical_crossentropy
14,0.0017352797455204875,0.9438502705272507,0.0009330018529859408,0.9682486649742101,256,256,2,softmax,logcosh
6,0.11888233322484754,0.962566847150976,0.034594363940057785,0.9896390380507166,64,256,2,relu,categorical_crossentropy
7,0.1167751966810967,0.9639037454670126,0.020730470570337528,0.9943181821568445,128,64,2,relu,categorical_crossentropy
17,0.0028823087964866306,0.9037433210461535,0.0017457948658891461,0.9451871690225793,4,128,2,relu,logcosh
21,0.0010943777248392395,0.9598930505189028,0.0001126034707077995,0.9966577542099085,128,128,2,softmax,logcosh
45,0.013514993264075906,0.31550802842260683,0.014042500033523305,0.28542781343315055,256,128,2,sigmoid,logcosh
50,2.861234387930702,0.1270053497849301,2.90045557716951,0.10461230114859374,256,4,2,sigmoid,categorical_crossentropy
25,0.13153486242817525,0.9572192538868297,0.012858697890450419,0.9993315508419817,16,128,2,sigmoid,categorical_crossentropy
47,0.3104605179050947,0.9104278128255497,0.10319492682442785,0.9779411777853966,64,4,2,softmax,categorical_crossentropy
14,0.10286194469020735,0.9639037454670126,0.009863178608164182,0.9996657754209909,128,128,2,softmax,categorical_crossentropy
50,0.32360375374692546,0.9104278128255497,0.18499492040488177,0.9488636394116011,4,16,2,sigmoid,categorical_crossentropy
50,0.5120852806843209,0.8596256758200931,0.16336214579317318,0.9675802158361132,64,16,2,sigmoid,categorical_crossentropy
20,0.27368069834541686,0.925133694301952,0.043168795635850264,0.9933155084198172,4,128,2,relu,categorical_crossentropy
35,0.42317139700971507,0.902406422730117,0.07712562083475072,0.9856283431026068,256,4,2,relu,categorical_crossentropy
32,0.23389598964290184,0.9278074909340251,0.06264435794568232,0.9866310168396343,4,256,2,sigmoid,categorical_crossentropy
12,0.11336190350581568,0.9558823555707932,0.008773265371839813,0.9989973262629726,128,256,2,softmax,categorical_crossentropy
28,0.28889330374767985,0.9331550841981714,0.04620432134603097,0.9926470592617989,256,256,2,sigmoid,categorical_crossentropy
25,0.08622569171697485,0.9665775420990858,0.0002516765889232962,1.0,256,128,2,softmax,categorical_crossentropy
10,0.0011899956741653732,0.9572192538868297,0.00018666506840620456,0.9939839575778354,128,256,2,relu,logcosh
29,0.16893294417725538,0.9491978639906103,0.016682928565308522,0.9983288771049543,64,64,2,sigmoid,categorical_crossentropy
33,0.2984505371602419,0.9211229991546289,0.06228742953794243,0.9896390380507166,128,64,2,sigmoid,categorical_crossentropy
