round_epochs,val_loss,val_acc,loss,acc,first_neuron,second_neuron,dropout,pool_size,activation,losses
11,0.017343813150953867,0.12160898049486586,0.017312623911172324,0.11134502931296476,64,128,0.0,2,sigmoid,logcosh
12,0.8654903040609824,0.7399438757194995,0.21151050932100088,0.9403508789183801,64,256,0.0,2,softmax,categorical_crossentropy
14,0.004891509405207964,0.8381665137128589,0.0006912189556734857,0.9791812871806106,64,128,0.0,2,relu,logcosh
9,0.7375749449398212,0.7913938294346919,0.16829507710400426,0.9445614059243286,16,256,0.5,2,relu,categorical_crossentropy
34,0.008072321939560187,0.7118802654258105,0.003108883673669575,0.892163745457666,4,256,0.5,2,sigmoid,logcosh
11,0.01734326262692629,0.10196445281534579,0.01731278859078884,0.11134502931296476,256,128,0.5,2,sigmoid,logcosh
8,1.095702930592504,0.7371375152058864,0.11529539089120883,0.9618713465873261,64,128,0.0,2,relu,categorical_crossentropy
14,2.930741316810515,0.10196445281534579,2.905944497961747,0.11134502931296476,128,64,0.5,2,sigmoid,categorical_crossentropy
14,2.9300910233336146,0.10196445281534579,2.905926535701194,0.11134502931296476,16,16,0.5,2,sigmoid,categorical_crossentropy
23,0.011366274015266874,0.5678203963335704,0.0022672797700749175,0.9316959077328967,128,16,0.0,2,softmax,logcosh
19,0.7926432411778265,0.747427505670138,0.25304637948663794,0.9150877228954382,256,128,0.5,2,softmax,categorical_crossentropy
25,0.010797012567519821,0.6014967288811481,0.008007678078100633,0.6975438634554545,4,64,0.5,2,softmax,logcosh
10,0.017342109405640356,0.10196445281534579,0.0173133115714405,0.11134502931296476,256,128,0.0,2,softmax,logcosh
12,0.015616777193502997,0.2806361092095959,0.011110014285693486,0.4699415215623309,256,16,0.0,2,softmax,logcosh
22,0.01589781524490659,0.32273152576527714,0.015969634605353417,0.21614035387136782,4,4,0.5,2,softmax,logcosh
10,0.01734155712002789,0.10196445281534579,0.017313276274859558,0.11134502931296476,16,16,0.5,2,sigmoid,logcosh
11,0.006859955905106446,0.7689429414367096,0.0009588395584746755,0.9667836266477206,128,256,0.0,2,relu,logcosh
4,15.937162617191854,0.011225444368383838,15.560088822995013,0.0346198831908187,256,256,0.0,2,sigmoid,categorical_crossentropy
10,0.017338748693717095,0.10196445281534579,0.01731365758991032,0.11134502931296476,64,16,0.0,2,sigmoid,logcosh
22,0.005721913095812119,0.8044901809422517,0.0005431741075317924,0.9826900589884373,64,16,0.0,2,relu,logcosh
14,0.006829643578495909,0.7558465887024873,0.001393928897522492,0.9520467848805656,256,16,0.0,2,relu,logcosh
17,0.007795890624985817,0.7090739040200793,0.0018606982460074235,0.9419883053030884,16,256,0.0,2,softmax,logcosh
14,0.9214648890229817,0.7633302170222223,1.1042992606322173,0.6154386064985342,256,16,0.5,2,relu,categorical_crossentropy
21,0.00926228807500902,0.6417212387018945,0.0022249199341875313,0.9295906446656288,16,16,0.0,2,softmax,logcosh
10,0.017340084311349355,0.10196445281534579,0.01731330174843819,0.11134502931296476,16,4,0.0,2,sigmoid,logcosh
20,0.006903143935481457,0.764265671790594,0.0019779070962542633,0.9347368442524246,128,256,0.5,2,softmax,logcosh
9,0.6563020717118289,0.8082319952206036,0.13528524617049842,0.9567251481682236,128,128,0.5,2,relu,categorical_crossentropy
22,0.008580287323617602,0.6894293768981331,0.003566919766924875,0.8769590676527972,4,128,0.5,2,relu,logcosh
14,0.6780108415020029,0.8016838197874286,0.15944547311080481,0.95602339338838,16,64,0.0,2,softmax,categorical_crossentropy
4,0.031018679796466324,0.12160898049486586,0.020195866818522777,0.11134502931296476,128,128,0.0,2,sigmoid,logcosh
16,2.9318199817882284,0.10196445281534579,2.9046362232743648,0.11134502931296476,256,16,0.5,2,sigmoid,categorical_crossentropy
18,0.013125136444275182,0.5088868119010755,0.012692152080244181,0.4381286595822775,4,16,0.5,2,sigmoid,logcosh
11,0.017343377581230383,0.10196445281534579,0.017312877986863342,0.11134502931296476,64,256,0.0,2,sigmoid,logcosh
12,0.006522774112756761,0.751169319669703,0.003866434418864698,0.8287719331986723,256,64,0.5,2,relu,logcosh
15,2.9312182204315214,0.10196445281534579,2.9051905579037136,0.11134502931296476,64,64,0.5,2,sigmoid,categorical_crossentropy
8,1.2999799783133368,0.6594948577925466,0.5239564383805538,0.8336842133984929,4,128,0.0,2,relu,categorical_crossentropy
15,2.9313917438821107,0.10196445281534579,2.9052019975338763,0.11134502931296476,64,4,0.0,2,softmax,categorical_crossentropy
16,2.9318008975964824,0.10196445281534579,2.9046299150812698,0.11134502931296476,16,16,0.5,2,sigmoid,categorical_crossentropy
17,0.8001129126507389,0.723105710142678,0.22474157508408962,0.9338011715321513,16,256,0.0,2,sigmoid,categorical_crossentropy
14,0.8107702518498434,0.7446211447383445,0.36857384660329395,0.8804678405760324,16,128,0.5,2,softmax,categorical_crossentropy
10,0.017341634596657038,0.10196445281534579,0.01731326602050784,0.11134502931296476,256,128,0.5,2,softmax,logcosh
8,0.7331692544111914,0.8194574393102005,0.1508023663297697,0.9564912295132353,64,64,0.0,2,relu,categorical_crossentropy
8,0.9296233005233127,0.7521047738805009,0.12262741204325862,0.9614035100964775,64,256,0.0,2,relu,categorical_crossentropy
12,0.00804879940669138,0.7231057093063172,0.0011460595200499444,0.9618713460644783,256,256,0.0,2,relu,logcosh
10,0.017340195313848773,0.10196445281534579,0.01731329519105585,0.11134502931296476,16,4,0.5,2,softmax,logcosh
10,0.017342576122833145,0.17492984120984073,0.017205078648239898,0.12959064398592676,128,16,0.5,2,relu,logcosh
11,0.017344185720059333,0.10196445281534579,0.017312621784924764,0.11134502931296476,64,128,0.5,2,sigmoid,logcosh
14,2.930646697196925,0.10196445281534579,2.905914097780373,0.11134502931296476,64,128,0.5,2,sigmoid,categorical_crossentropy
10,0.017340104863173052,0.10196445281534579,0.017313298315071224,0.11134502931296476,64,4,0.0,2,softmax,logcosh
8,0.01678930672553827,0.1562207672393021,0.016836330666792916,0.14596491323577032,128,4,0.5,2,relu,logcosh
12,0.811745227249722,0.7511693198787932,0.20857786075831675,0.9408187153743721,64,128,0.0,2,softmax,categorical_crossentropy
10,0.017338178983921756,0.10196445281534579,0.017313500402266518,0.11134502931296476,16,64,0.5,2,sigmoid,logcosh
4,0.03574262832276614,0.011225444368383838,0.034896956554107496,0.0346198831908187,256,128,0.0,2,sigmoid,logcosh
12,1.0729841821038495,0.6884939229103647,0.4824169558368398,0.8474853842230569,4,128,0.5,2,relu,categorical_crossentropy
12,0.6962016352536982,0.7492984127396173,0.18505403920775576,0.9443274871473424,256,256,0.0,2,softmax,categorical_crossentropy
15,2.9313736700141844,0.10196445281534579,2.9052082889958433,0.11134502931296476,64,4,0.5,2,sigmoid,categorical_crossentropy
36,0.008686313205583737,0.6875584696195637,0.0037657296091655247,0.86853801484345,4,256,0.5,2,sigmoid,logcosh
